Category,KPI_Name,Definition,Target_Benchmark,Decision_Making_Impact,Update_Frequency
Financial,Net APY,Annualized return to investors after all fees (mgmt + perf),8% - 12%,Primary metric for investor attractiveness and market competitiveness,Monthly
Financial,NAV per Share,Net Asset Value of one UPT token (Value-Accrual Model),> 1.0000,Determines real-time entry/exit pricing and capital appreciation,Daily
Financial,Yield Variance,Difference between projected and actual realized yield,< ± 0.5%,Measures accuracy of financial models and operational stability,Quarterly
Financial,Expense Ratio,Total management and performance fees as a % of TVL,< 2.5%,Evaluates cost efficiency; helps decide on fee structure adjustments,Annual
Liquidity,TVL (Total Value Locked),Total UJEUR currently held or deployed by the pool,€10M - €100M+,Indicates scale; determines capacity for new industrial financing,Daily
Liquidity,Utilization Rate,Percentage of pool capital currently deployed to Industrials,85% - 92%,Decide when to stop/start fundraising vs. industrial onboarding,Daily
Liquidity,Cash Drag,Yield impact caused by un-deployed capital in the pool,< 0.75%,Triggers 'Stop-Fundraising' logic to protect current APY,Monthly
Liquidity,Redemption Liquidity,UJEUR available for immediate investor exit (Reserve),5% - 10%,Ensures solvency and investor confidence during exit windows,Daily
Risk,Default Rate (NPL),Percentage of industrial financings in default (>90 days),< 2.0%,Triggers recovery protocols and Dutch Auction liquidations,Monthly
Risk,Concentration Risk,Exposure to the single largest Industrial partner,< 15%,Decide on diversification strategy and exposure caps per partner,Daily
Risk,Avg. Credit Rating,Weighted average risk score (AAA to B) of the pool,BBB+ or higher,Used for institutional reporting and risk-weighted capital allocation,Quarterly
Risk,Collateralization %,Value of UJG Tokens (Guarantee) vs. Deployed Funds,> 125%,Safety margin for recovery; determines loan-to-value (LTV) limits,Daily
Compliance,KYC/KYB Coverage,% of investors with fully verified active identity status,100%,Absolute requirement; determines legal standing and audit readiness,Real-time
Compliance,Whitelisted Wallets,Total number of unique compliant institutional addresses,> 20 per Pool,Measures ecosystem growth and investor base decentralization,Monthly
Compliance,Jurisdiction Diversity,Number of unique 'Allowed' countries in the pool,> 5,Mitigates local regulatory risk and currency-specific shocks,Quarterly
Impact/ESG,Industrial Growth,% increase in processing capacity of financed factories,> 20% YoY,Measures success of mission-aligned growth; future yield driver,Annual
Impact/ESG,Value-Add %,Ratio of processed goods value vs. raw commodity value,> 2.5x,Justifies ESG mandates and government-level support in Africa,Annual
Impact/ESG,Job Creation,Local jobs supported per €1M of pool financing,50 - 150 Jobs,Critical for ESG reporting required by Development Finance Institutions,Annual
